ticket_id,created_at,business_unit,process_area,issue_description,issue_category,priority,status,assigned_team,sla_hours,resolution_hours,manually_estimated_minutes,ai_estimated_minutes,human_review_decision
OPS-00471,2025-01-01 02:45:15,Accounting Operations,Reconciliation,Unresolved reconciliation break in valuation requires source-system comparison for fund RIVER.,Failed Reconciliation,Critical,Open,Reconciliation Team,4,,58,25,Adjusted
OPS-01138,2025-01-02 08:34:55,Accounting Operations,Accounting Exception,"Required benchmark was not received for fund RIVER, blocking accounting exception processing.",Missing Data,Medium,In Review,Accounting Control Team,44,,6,2,Rejected
OPS-00308,2025-01-02 12:48:38,Accounting Operations,Reporting,Report delivery is at risk after a late upstream data refresh for account S-204.,Report Delay,High,Escalated,Client Reporting Team,20,,29,12,Pending
OPS-00445,2025-01-02 13:31:02,Client Reporting,Client Request,"Required security identifier was not received for portfolio ALPHA, blocking client request processing.",Missing Data,Low,In Review,Client Service Team,72,,9,4,Accepted
OPS-01072,2025-01-02 14:57:07,Investment Operations,Trade Settlement,Validation found a discrepancy in counterparty confirmation values between source records and the operational report for fund ORION.,Data Mismatch,High,Resolved,Settlement Operations Team,28,37.0,27,13,Adjusted
OPS-00741,2025-01-02 21:41:41,Risk Operations,Pricing Issue,Independent price verification found an unusual benchmark variance for portfolio ALPHA.,Pricing Discrepancy,High,Resolved,Pricing Control Team,24,7.8,46,18,Accepted
OPS-00832,2025-01-03 03:45:17,Data Operations,Data Quality,"Required benchmark was not received for fund ORION, blocking data quality processing.",Missing Data,Low,In Review,Data Quality Team,72,,8,3,Rejected
OPS-00416,2025-01-03 05:48:59,Client Reporting,Reporting,Scheduled reporting output has not completed because counterparty confirmation is still pending for portfolio ALPHA.,Report Delay,High,In Review,Client Reporting Team,20,,32,14,Pending
OPS-00210,2025-01-03 08:03:08,Data Operations,Pricing Issue,Exception workflow needs a reviewed override for account S-204 before processing can continue.,Manual Override,High,In Review,Pricing Control Team,24,,30,19,Pending
OPS-00251,2025-01-03 17:33:03,Accounting Operations,Reconciliation,"Required account balance was not received for account S-204, blocking reconciliation processing.",Missing Data,High,Escalated,Reconciliation Team,24,34.6,26,13,Accepted
OPS-00205,2025-01-04 03:29:13,Data Operations,Reconciliation,Reconciliation data mismatch detected between trade feed and custodian record for portfolio HORIZON.,Data Mismatch,Medium,Open,Reconciliation Team,48,,15,8,Rejected
OPS-00342,2025-01-04 06:28:48,Accounting Operations,Accounting Exception,Accounting Exception data mismatch detected between source system and accounting report for account S-204.,Data Mismatch,Low,Resolved,Accounting Control Team,68,21.2,6,3,Accepted
OPS-01145,2025-01-04 12:54:27,Client Reporting,Reporting,Scheduled reporting output has not completed because security identifier is still pending for mandate NOVA.,Report Delay,Low,Resolved,Client Reporting Team,72,37.1,5,2,Accepted
OPS-01009,2025-01-04 21:52:39,Investment Operations,Pricing Issue,Independent price verification found an unusual security identifier variance for account S-204.,Pricing Discrepancy,Low,Resolved,Pricing Control Team,72,65.8,22,11,Accepted
OPS-00607,2025-01-05 12:03:53,Client Reporting,Client Request,Analyst identified incomplete reference data information in the client request queue for portfolio HORIZON.,Missing Data,Medium,In Review,Client Service Team,52,,17,6,Pending
OPS-00844,2025-01-05 22:59:50,Accounting Operations,Accounting Exception,Unresolved reconciliation break in benchmark requires source-system comparison for account S-204.,Failed Reconciliation,Medium,Resolved,Accounting Control Team,52,33.1,24,10,Accepted
OPS-01195,2025-01-06 09:19:33,Investment Operations,Accounting Exception,NAV reconciliation difference detected between source data and the accounting report for portfolio HORIZON.,Failed Reconciliation,High,Resolved,Accounting Control Team,24,18.9,27,14,Accepted
OPS-00766,2025-01-06 10:42:23,Data Operations,Data Quality,"Required reference data was not received for mandate NOVA, blocking data quality processing.",Missing Data,Medium,Resolved,Data Quality Team,44,22.7,10,5,Accepted
OPS-00988,2025-01-06 17:25:21,Accounting Operations,Reconciliation,Validation found a discrepancy in security identifier values between source records and the operational report for mandate NOVA.,Data Mismatch,Low,Resolved,Reconciliation Team,72,57.9,7,4,Adjusted
OPS-00019,2025-01-07 13:20:31,Client Reporting,Data Quality,fund ORION has inconsistent counterparty confirmation information requiring comparison across input files.,Data Mismatch,Medium,Open,Data Quality Team,48,,19,7,Pending
OPS-01247,2025-01-07 22:04:23,Risk Operations,Compliance Review,Compliance Review identified a policy exception involving valuation; human approval is required for portfolio ALPHA.,Policy Exception,Medium,In Review,Compliance Review Team,48,,27,16,Rejected
OPS-00069,2025-01-07 22:44:20,Client Reporting,Reporting,Report delivery is at risk after a late upstream data refresh for mandate NOVA.,Report Delay,Low,Resolved,Client Reporting Team,72,54.5,18,10,Accepted
OPS-00011,2025-01-08 03:01:48,Investment Operations,Trade Settlement,Analyst requested an approved manual adjustment to valuation for mandate NOVA.,Manual Override,Medium,In Review,Settlement Operations Team,44,,19,7,Adjusted
OPS-00017,2025-01-09 01:43:12,Risk Operations,Accounting Exception,NAV reconciliation difference detected between source data and the accounting report for account S-204.,Failed Reconciliation,Critical,Escalated,Accounting Control Team,4,,53,25,Pending
OPS-00142,2025-01-09 14:49:04,Data Operations,Reconciliation,"Required account balance was not received for fund RIVER, blocking reconciliation processing.",Missing Data,High,In Review,Reconciliation Team,24,,29,11,Pending
OPS-00134,2025-01-09 15:20:10,Accounting Operations,Reconciliation,NAV reconciliation difference detected between source data and the accounting report for account S-204.,Failed Reconciliation,Medium,Resolved,Reconciliation Team,48,37.6,23,11,Accepted
OPS-00687,2025-01-10 11:33:48,Accounting Operations,Reconciliation,Exception workflow needs a reviewed override for fund RIVER before processing can continue.,Manual Override,High,In Review,Reconciliation Team,24,,33,18,Accepted
OPS-01105,2025-01-10 17:28:48,Investment Operations,Reconciliation,Reconciliation failed after a difference was detected between trade feed and custodian record for account S-204.,Failed Reconciliation,High,In Review,Reconciliation Team,24,,35,19,Pending
OPS-00920,2025-01-11 16:18:19,Data Operations,Reporting,Scheduled reporting output has not completed because account balance is still pending for mandate NOVA.,Report Delay,Critical,In Review,Client Reporting Team,8,,50,21,Pending
