date,asset_id,price
2025-07-28,AST-0001,144.9682
2025-07-29,AST-0001,146.9787
2025-07-30,AST-0001,148.1251
2025-07-31,AST-0001,145.1916
2025-08-01,AST-0001,144.8645
2025-08-04,AST-0001,147.3237
2025-08-05,AST-0001,144.1706
2025-08-06,AST-0001,144.5603
2025-08-07,AST-0001,146.4612
2025-08-08,AST-0001,149.2677
2025-08-11,AST-0001,154.0487
2025-08-12,AST-0001,153.1652
2025-08-13,AST-0001,151.9338
2025-08-14,AST-0001,149.7015
2025-08-15,AST-0001,145.7654
2025-08-18,AST-0001,150.34
2025-08-19,AST-0001,148.4014
2025-08-20,AST-0001,146.9351
2025-08-21,AST-0001,146.8093
2025-08-22,AST-0001,149.2558
2025-08-25,AST-0001,148.1219
2025-08-26,AST-0001,149.943
2025-08-27,AST-0001,149.2786
2025-08-28,AST-0001,154.0321
2025-08-29,AST-0001,153.6503
2025-09-01,AST-0001,152.3694
2025-09-02,AST-0001,149.5529
2025-09-03,AST-0001,152.0396
2025-09-04,AST-0001,153.7372
2025-09-05,AST-0001,158.144
2025-09-08,AST-0001,158.2039
2025-09-09,AST-0001,157.1298
2025-09-10,AST-0001,162.9873
2025-09-11,AST-0001,161.7652
2025-09-12,AST-0001,163.8191
2025-09-15,AST-0001,161.896
2025-09-16,AST-0001,165.6487
2025-09-17,AST-0001,165.1293
2025-09-18,AST-0001,163.6559
2025-09-19,AST-0001,164.8925
2025-09-22,AST-0001,168.1907
2025-09-23,AST-0001,169.3014
2025-09-24,AST-0001,171.7282
2025-09-25,AST-0001,171.8419
2025-09-26,AST-0001,173.0565
2025-09-29,AST-0001,172.8289
2025-09-30,AST-0001,170.1415
2025-10-01,AST-0001,170.541
2025-10-02,AST-0001,168.3927
2025-10-03,AST-0001,168.3556
2025-10-06,AST-0001,165.7782
2025-10-07,AST-0001,166.479
2025-10-08,AST-0001,166.2257
2025-10-09,AST-0001,163.6828
2025-10-10,AST-0001,170.0262
2025-10-13,AST-0001,173.8721
2025-10-14,AST-0001,169.6821
2025-10-15,AST-0001,173.3839
2025-10-16,AST-0001,168.9862
2025-10-17,AST-0001,165.791
2025-10-20,AST-0001,163.4983
2025-10-21,AST-0001,161.4579
2025-10-22,AST-0001,163.8106
2025-10-23,AST-0001,164.0383
2025-10-24,AST-0001,160.8269
2025-10-27,AST-0001,159.6718
2025-10-28,AST-0001,157.7609
2025-10-29,AST-0001,157.6168
2025-10-30,AST-0001,157.2157
2025-10-31,AST-0001,154.8548
2025-11-03,AST-0001,157.0635
2025-11-04,AST-0001,158.5975
2025-11-05,AST-0001,157.1626
2025-11-06,AST-0001,158.5077
2025-11-07,AST-0001,159.5552
2025-11-10,AST-0001,160.9187
2025-11-11,AST-0001,156.9305
2025-11-12,AST-0001,157.6132
2025-11-13,AST-0001,153.9214
2025-11-14,AST-0001,148.5002
2025-11-17,AST-0001,154.6318
2025-11-18,AST-0001,158.6548
2025-11-19,AST-0001,162.1844
2025-11-20,AST-0001,161.6116
2025-11-21,AST-0001,167.9537
2025-11-24,AST-0001,169.3715
2025-11-25,AST-0001,167.569
2025-11-26,AST-0001,170.6938
2025-11-27,AST-0001,170.7594
2025-11-28,AST-0001,168.5678
2025-12-01,AST-0001,171.8626
2025-12-02,AST-0001,173.2226
2025-12-03,AST-0001,175.774
2025-12-04,AST-0001,177.1015
2025-12-05,AST-0001,178.6005
2025-12-08,AST-0001,178.5429
2025-12-09,AST-0001,176.2308
2025-12-10,AST-0001,174.3111
2025-12-11,AST-0001,175.9589
2025-12-12,AST-0001,174.3955
2025-12-15,AST-0001,170.6196
2025-12-16,AST-0001,171.13
2025-12-17,AST-0001,171.4643
2025-12-18,AST-0001,168.4322
2025-12-19,AST-0001,168.4559
2025-12-22,AST-0001,170.2664
2025-12-23,AST-0001,172.3676
2025-12-24,AST-0001,172.8185
2025-12-25,AST-0001,176.4642
2025-12-26,AST-0001,171.0097
2025-12-29,AST-0001,167.4222
2025-12-30,AST-0001,167.3634
2025-12-31,AST-0001,167.7039
2026-01-01,AST-0001,168.1011
2026-01-02,AST-0001,168.0723
2026-01-05,AST-0001,166.1502
2026-01-06,AST-0001,162.7529
2026-01-07,AST-0001,157.0701
2026-01-08,AST-0001,158.3303
2026-01-09,AST-0001,164.6028
2026-01-12,AST-0001,161.5072
2026-01-13,AST-0001,163.6778
2026-01-14,AST-0001,166.5643
2026-01-15,AST-0001,166.0836
2026-01-16,AST-0001,166.2627
2026-01-19,AST-0001,169.0245
2026-01-20,AST-0001,167.5468
2026-01-21,AST-0001,168.1655
2026-01-22,AST-0001,169.9786
2026-01-23,AST-0001,170.0645
2026-01-26,AST-0001,168.2141
2026-01-27,AST-0001,166.8906
2026-01-28,AST-0001,166.7601
2026-01-29,AST-0001,174.7387
2026-01-30,AST-0001,176.0227
2026-02-02,AST-0001,177.1434
2026-02-03,AST-0001,174.0891
2026-02-04,AST-0001,170.459
2026-02-05,AST-0001,172.7116
2026-02-06,AST-0001,168.1885
2026-02-09,AST-0001,166.3318
2026-02-10,AST-0001,167.8751
2026-02-11,AST-0001,169.7373
2026-02-12,AST-0001,170.5302
2026-02-13,AST-0001,169.478
2026-02-16,AST-0001,170.8891
2026-02-17,AST-0001,173.0868
2026-02-18,AST-0001,179.3206
2026-02-19,AST-0001,178.6728
2026-02-20,AST-0001,175.1378
2026-02-23,AST-0001,175.5833
2026-02-24,AST-0001,173.7536
2026-02-25,AST-0001,179.1058
2026-02-26,AST-0001,179.2378
2026-02-27,AST-0001,179.996
2026-03-02,AST-0001,178.5859
2026-03-03,AST-0001,179.5262
2026-03-04,AST-0001,179.7669
2026-03-05,AST-0001,181.5698
2026-03-06,AST-0001,181.977
2026-03-09,AST-0001,178.5407
2026-03-10,AST-0001,177.6521
2026-03-11,AST-0001,171.0768
2026-03-12,AST-0001,176.7769
2026-03-13,AST-0001,182.6956
2026-03-16,AST-0001,182.5061
2026-03-17,AST-0001,182.0781
2026-03-18,AST-0001,183.2351
2026-03-19,AST-0001,183.688
2026-03-20,AST-0001,177.4032
2026-03-23,AST-0001,181.2286
2026-03-24,AST-0001,177.4625
2026-03-25,AST-0001,177.4709
2026-03-26,AST-0001,177.0049
2026-03-27,AST-0001,177.4859
2026-03-30,AST-0001,181.4184
2026-03-31,AST-0001,179.5132
2026-04-01,AST-0001,177.2988
2026-04-02,AST-0001,172.7484
2026-04-03,AST-0001,172.258
2026-04-06,AST-0001,170.0309
2026-04-07,AST-0001,172.1836
2026-04-08,AST-0001,172.273
2026-04-09,AST-0001,170.7848
2026-04-10,AST-0001,170.9603
2026-04-13,AST-0001,171.8678
2026-04-14,AST-0001,170.1684
2026-04-15,AST-0001,172.7426
2026-04-16,AST-0001,176.9406
2026-04-17,AST-0001,174.3501
2026-04-20,AST-0001,171.4006
2026-04-21,AST-0001,168.5655
2026-04-22,AST-0001,172.0249
2026-04-23,AST-0001,172.9839
2026-04-24,AST-0001,170.8703
2026-04-27,AST-0001,166.3047
2026-04-28,AST-0001,166.4588
2026-04-29,AST-0001,160.899
2026-04-30,AST-0001,159.1764
