holding_id,portfolio_id,asset_id,asset_name,asset_class,sector,region,currency,quantity,price,market_value,weight
HLD-0001,PORT-SYN-001,AST-0001,Synthetic Latin America Technology Equity 01,Equity,Technology,Latin America,MXN,10743.408,191.7677,2060238.62,2.060239
HLD-0002,PORT-SYN-001,AST-0002,Synthetic Asia Pacific Financials Equity 02,Equity,Financials,Asia Pacific,JPY,16717.5703,178.2821,2980442.89,2.980443
HLD-0003,PORT-SYN-001,AST-0003,Synthetic North America Healthcare Equity 03,Equity,Healthcare,North America,USD,14633.1346,119.9608,1755402.65,1.755403
HLD-0004,PORT-SYN-001,AST-0004,Synthetic Europe Consumer Equity 04,Equity,Consumer,Europe,EUR,18804.6052,81.3487,1529729.44,1.529729
HLD-0005,PORT-SYN-001,AST-0005,Synthetic Emerging Markets Energy Equity 05,Equity,Energy,Emerging Markets,BRL,76491.5923,43.0132,3290150.43,3.29015
HLD-0006,PORT-SYN-001,AST-0006,Synthetic Latin America Industrials Equity 06,Equity,Industrials,Latin America,MXN,7571.6544,218.7673,1656430.56,1.656431
HLD-0007,PORT-SYN-001,AST-0007,Synthetic Asia Pacific Utilities Equity 07,Equity,Utilities,Asia Pacific,JPY,19531.0306,121.3592,2370270.86,2.370271
HLD-0008,PORT-SYN-001,AST-0008,Synthetic North America Technology Equity 08,Equity,Technology,North America,USD,32953.6654,66.1152,2178738.63,2.178739
HLD-0009,PORT-SYN-001,AST-0009,Synthetic Europe Financials Equity 09,Equity,Financials,Europe,EUR,37067.1185,88.6985,3287799.44,3.287799
HLD-0010,PORT-SYN-001,AST-0010,Synthetic Emerging Markets Healthcare Equity 10,Equity,Healthcare,Emerging Markets,BRL,8719.5686,148.2699,1292849.26,1.292849
HLD-0011,PORT-SYN-001,AST-0011,Synthetic Latin America Consumer Equity 11,Equity,Consumer,Latin America,MXN,69663.6101,60.5365,4217188.81,4.217189
HLD-0012,PORT-SYN-001,AST-0012,Synthetic Asia Pacific Energy Equity 12,Equity,Energy,Asia Pacific,JPY,4766.9961,208.7419,995071.88,0.995072
HLD-0013,PORT-SYN-001,AST-0013,Synthetic North America Industrials Equity 13,Equity,Industrials,North America,USD,13353.3749,187.3573,2501851.7,2.501852
HLD-0014,PORT-SYN-001,AST-0014,Synthetic Europe Utilities Equity 14,Equity,Utilities,Europe,EUR,12651.9347,178.8429,2262709.01,2.262709
HLD-0015,PORT-SYN-001,AST-0015,Synthetic Emerging Markets Technology Equity 15,Equity,Technology,Emerging Markets,BRL,7781.4011,116.1963,904169.88,0.90417
HLD-0016,PORT-SYN-001,AST-0016,Synthetic Latin America Financials Equity 16,Equity,Financials,Latin America,MXN,16874.2017,158.7533,2678835.67,2.678836
HLD-0017,PORT-SYN-001,AST-0017,Synthetic Asia Pacific Healthcare Equity 17,Equity,Healthcare,Asia Pacific,JPY,9305.1492,149.3334,1389569.16,1.389569
HLD-0018,PORT-SYN-001,AST-0018,Synthetic North America Consumer Equity 18,Equity,Consumer,North America,USD,3755.3396,163.6666,614623.51,0.614624
