exception_id,created_at,portfolio_id,instrument_type,counterparty,exception_type,exception_description,amount_difference,currency,severity,status,owner_team,due_at,resolved_at,root_cause
EXC-000001,2026-08-08 10:23:00,PORT-1057,FX,Cedar Exchange,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,23007.61,USD,Critical,In Progress,Compliance Operations,2026-08-08 16:23:00,,Policy threshold review
EXC-000002,2026-08-07 02:20:00,PORT-1086,FX,Harbor Trade Services,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,3941.55,USD,Medium,Resolved,Pricing & Valuation,2026-08-08 14:20:00,2026-08-07 22:08:06.274687664,Market data variance
EXC-000003,2026-08-05 20:38:00,PORT-1032,Equity,Harbor Trade Services,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,17248.68,EUR,Medium,Open,Reference Data Operations,2026-08-07 08:38:00,,Security master attribute gap
EXC-000004,2026-08-07 08:12:00,PORT-1011,FX,Northstar Clearing,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,28595.91,USD,Low,In Progress,Client Reporting,2026-08-10 08:12:00,,Upstream data delivery delay
EXC-000005,2026-08-03 10:22:00,PORT-1084,FX,Northstar Clearing,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,28048.04,USD,High,Open,Reconciliation Operations,2026-08-04 02:22:00,,Position or cash mismatch
EXC-000006,2026-08-02 04:51:00,PORT-1071,FX,Meridian Markets,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,48234.96,USD,Critical,In Progress,Settlement Operations,2026-08-02 10:51:00,,Settlement instruction or funding issue
EXC-000007,2026-07-31 11:18:00,PORT-1054,Equity,Aurora Securities,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,44272.01,USD,Critical,Escalated,Compliance Operations,2026-07-31 17:18:00,,Policy threshold review
EXC-000008,2026-08-04 08:23:00,PORT-1020,Fixed Income,Harbor Trade Services,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,23254.0,USD,High,Open,Reference Data Operations,2026-08-05 00:23:00,,Security master attribute gap
EXC-000009,2026-08-03 03:02:00,PORT-1066,Fixed Income,Summit Custody,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,7687.17,EUR,Medium,In Progress,Reconciliation Operations,2026-08-04 15:02:00,,Position or cash mismatch
EXC-000010,2026-08-03 08:53:00,PORT-1036,Equity,Aurora Securities,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,16929.35,USD,High,Resolved,Pricing & Valuation,2026-08-04 00:53:00,2026-08-04 02:43:44.391492142,Market data variance
EXC-000011,2026-08-09 07:55:00,PORT-1025,Equity,Cedar Exchange,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,13989.81,EUR,Low,Resolved,Pricing & Valuation,2026-08-12 07:55:00,2026-08-13 15:19:17.284129353,Market data variance
EXC-000012,2026-08-02 05:51:00,PORT-1029,Fixed Income,Northstar Clearing,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,19943.15,USD,High,Open,Settlement Operations,2026-08-02 21:51:00,,Settlement instruction or funding issue
EXC-000013,2026-08-09 03:25:00,PORT-1007,Derivative,Meridian Markets,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,55588.24,GBP,Critical,Open,Client Reporting,2026-08-09 09:25:00,,Data mapping variance
EXC-000014,2026-08-03 21:09:00,PORT-1049,Equity,Northstar Clearing,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,41122.38,USD,Low,In Progress,Reference Data Operations,2026-08-06 21:09:00,,Data mapping variance
EXC-000015,2026-07-30 09:06:00,PORT-1074,Derivative,Harbor Trade Services,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,63908.39,USD,High,Resolved,Pricing & Valuation,2026-07-31 01:06:00,2026-07-31 11:12:37.168054831,Market data variance
EXC-000016,2026-08-01 11:09:00,PORT-1082,ETF,Harbor Trade Services,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,17974.56,USD,Medium,Resolved,Trade Support,2026-08-02 23:09:00,2026-08-01 19:21:54.627676699,Counterparty confirmation delay
EXC-000017,2026-08-04 06:53:00,PORT-1071,Derivative,Meridian Markets,Accounting Difference,Synthetic accounting control detected a ledger variance requiring review.,131108.28,USD,Medium,In Progress,Fund Accounting,2026-08-05 18:53:00,,Ledger posting difference
EXC-000018,2026-08-06 04:13:00,PORT-1086,Fixed Income,Harbor Trade Services,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,54528.59,USD,High,Resolved,Reconciliation Operations,2026-08-06 20:13:00,2026-08-06 18:27:55.196603857,Late file delivery
EXC-000019,2026-07-31 23:49:00,PORT-1095,Fixed Income,Harbor Trade Services,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,30268.0,GBP,Medium,Resolved,Reference Data Operations,2026-08-02 11:49:00,2026-08-03 04:15:29.436583627,Security master attribute gap
EXC-000020,2026-07-31 17:30:00,PORT-1022,FX,Harbor Trade Services,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,50691.52,USD,Medium,Escalated,Client Reporting,2026-08-02 05:30:00,,Upstream data delivery delay
EXC-000021,2026-08-05 15:47:00,PORT-1043,Cash,Summit Custody,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,13232.77,USD,Medium,Open,Compliance Operations,2026-08-07 03:47:00,,Policy threshold review
EXC-000022,2026-08-08 07:03:00,PORT-1034,Fixed Income,Meridian Markets,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,2938.95,USD,Medium,Resolved,Pricing & Valuation,2026-08-09 19:03:00,2026-08-08 11:32:38.218151104,Market data variance
EXC-000023,2026-08-03 13:00:00,PORT-1068,ETF,Summit Custody,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,14228.02,GBP,High,Resolved,Settlement Operations,2026-08-04 05:00:00,2026-08-04 01:37:24.665433388,Data mapping variance
EXC-000024,2026-08-02 23:51:00,PORT-1083,ETF,Harbor Trade Services,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,58972.69,GBP,Critical,Escalated,Settlement Operations,2026-08-03 05:51:00,,Settlement instruction or funding issue
EXC-000025,2026-07-30 23:43:00,PORT-1088,FX,Meridian Markets,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,29267.32,EUR,Medium,Open,Compliance Operations,2026-08-01 11:43:00,,Policy threshold review
EXC-000026,2026-07-31 11:08:00,PORT-1009,Equity,Meridian Markets,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,23302.68,USD,Low,Open,Reconciliation Operations,2026-08-03 11:08:00,,Position or cash mismatch
EXC-000027,2026-08-07 02:24:00,PORT-1051,ETF,Northstar Clearing,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,11045.38,EUR,High,In Progress,Pricing & Valuation,2026-08-07 18:24:00,,Market data variance
EXC-000028,2026-08-06 19:44:00,PORT-1012,Fixed Income,Aurora Securities,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,3450.87,EUR,Medium,Resolved,Reconciliation Operations,2026-08-08 07:44:00,2026-08-08 08:13:51.596608233,Data mapping variance
EXC-000029,2026-07-30 08:47:00,PORT-1033,Cash,Aurora Securities,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,120100.95,USD,Medium,Resolved,Reconciliation Operations,2026-07-31 20:47:00,2026-07-31 18:06:08.710303073,Position or cash mismatch
EXC-000030,2026-08-06 02:20:00,PORT-1047,Fixed Income,Meridian Markets,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,21627.27,USD,Medium,Open,Client Reporting,2026-08-07 14:20:00,,Upstream data delivery delay
EXC-000031,2026-08-04 17:49:00,PORT-1061,Fixed Income,Meridian Markets,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,17136.83,GBP,Medium,Resolved,Compliance Operations,2026-08-06 05:49:00,2026-08-06 14:29:52.030427845,Policy threshold review
EXC-000032,2026-08-06 07:22:00,PORT-1078,Cash,Cedar Exchange,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,13290.06,USD,Critical,Escalated,Settlement Operations,2026-08-06 13:22:00,,Settlement instruction or funding issue
EXC-000033,2026-08-05 09:48:00,PORT-1098,Fixed Income,Summit Custody,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,100433.25,EUR,Medium,Escalated,Trade Support,2026-08-06 21:48:00,,Data mapping variance
EXC-000034,2026-08-03 16:42:00,PORT-1033,Equity,Summit Custody,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,67874.68,USD,Medium,Open,Pricing & Valuation,2026-08-05 04:42:00,,Market data variance
EXC-000035,2026-08-06 10:26:00,PORT-1055,Equity,Summit Custody,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,9743.92,USD,High,Resolved,Pricing & Valuation,2026-08-07 02:26:00,2026-08-06 13:57:26.330479080,Market data variance
EXC-000036,2026-08-05 04:43:00,PORT-1007,Equity,Northstar Clearing,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,91378.92,USD,Medium,Escalated,Reconciliation Operations,2026-08-06 16:43:00,,Position or cash mismatch
EXC-000037,2026-08-05 20:19:00,PORT-1011,Equity,Aurora Securities,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,23102.04,EUR,Medium,Resolved,Reconciliation Operations,2026-08-07 08:19:00,2026-08-07 19:53:50.711286389,Position or cash mismatch
EXC-000038,2026-08-08 07:11:00,PORT-1095,Fixed Income,Harbor Trade Services,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,14170.69,GBP,Medium,Resolved,Pricing & Valuation,2026-08-09 19:11:00,2026-08-09 03:06:01.319268836,Market data variance
EXC-000039,2026-08-01 11:44:00,PORT-1092,Derivative,Harbor Trade Services,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,19765.77,USD,Low,In Progress,Trade Support,2026-08-04 11:44:00,,Manual processing error
EXC-000040,2026-07-31 11:05:00,PORT-1093,FX,Aurora Securities,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,11819.88,USD,High,Resolved,Client Reporting,2026-08-01 03:05:00,2026-08-01 09:10:49.687375583,Upstream data delivery delay
EXC-000041,2026-08-04 09:28:00,PORT-1026,Equity,Meridian Markets,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,6721.58,USD,High,Resolved,Pricing & Valuation,2026-08-05 01:28:00,2026-08-04 21:39:20.632011202,Market data variance
EXC-000042,2026-08-07 06:29:00,PORT-1064,ETF,Meridian Markets,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,60775.23,USD,High,In Progress,Reference Data Operations,2026-08-07 22:29:00,,Security master attribute gap
EXC-000043,2026-08-02 21:27:00,PORT-1023,Equity,Harbor Trade Services,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,21338.32,JPY,High,Escalated,Compliance Operations,2026-08-03 13:27:00,,Policy threshold review
EXC-000044,2026-08-04 00:20:00,PORT-1067,Cash,Harbor Trade Services,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,51434.79,USD,Medium,In Progress,Trade Support,2026-08-05 12:20:00,,Counterparty confirmation delay
EXC-000045,2026-08-03 20:16:00,PORT-1048,Equity,Cedar Exchange,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,36372.71,USD,Medium,In Progress,Reference Data Operations,2026-08-05 08:16:00,,Security master attribute gap
EXC-000046,2026-08-03 10:16:00,PORT-1092,FX,Summit Custody,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,47856.78,USD,Medium,Escalated,Reference Data Operations,2026-08-04 22:16:00,,Security master attribute gap
EXC-000047,2026-08-02 03:51:00,PORT-1037,Fixed Income,Northstar Clearing,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,3139.17,JPY,Critical,In Progress,Pricing & Valuation,2026-08-02 09:51:00,,Market data variance
EXC-000048,2026-08-08 23:01:00,PORT-1064,FX,Aurora Securities,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,10828.12,USD,High,Open,Trade Support,2026-08-09 15:01:00,,Counterparty confirmation delay
EXC-000049,2026-08-08 08:42:00,PORT-1065,Fixed Income,Summit Custody,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,48914.69,EUR,Medium,In Progress,Client Reporting,2026-08-09 20:42:00,,Upstream data delivery delay
EXC-000050,2026-08-08 10:10:00,PORT-1078,Derivative,Cedar Exchange,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,7054.55,USD,High,Resolved,Reconciliation Operations,2026-08-09 02:10:00,2026-08-08 13:08:14.329658414,Position or cash mismatch
EXC-000051,2026-08-07 19:15:00,PORT-1006,Equity,Summit Custody,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,39803.83,USD,High,Resolved,Reconciliation Operations,2026-08-08 11:15:00,2026-08-08 20:45:59.880469087,Data mapping variance
EXC-000052,2026-07-30 14:48:00,PORT-1046,Cash,Meridian Markets,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,6246.4,EUR,Critical,Open,Reconciliation Operations,2026-07-30 20:48:00,,Late file delivery
EXC-000053,2026-08-02 00:49:00,PORT-1045,Fixed Income,Cedar Exchange,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,27371.73,USD,High,Resolved,Reference Data Operations,2026-08-02 16:49:00,2026-08-02 21:50:40.247872923,Security master attribute gap
EXC-000054,2026-08-02 16:45:00,PORT-1023,Derivative,Aurora Securities,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,145872.75,EUR,Medium,Resolved,Client Reporting,2026-08-04 04:45:00,2026-08-03 16:13:39.745409202,Upstream data delivery delay
EXC-000055,2026-08-02 09:08:00,PORT-1079,Derivative,Harbor Trade Services,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,60677.61,USD,Medium,Resolved,Compliance Operations,2026-08-03 21:08:00,2026-08-03 04:19:35.186789282,Policy threshold review
EXC-000056,2026-08-08 23:55:00,PORT-1082,Cash,Cedar Exchange,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,3853.44,EUR,Medium,Resolved,Reference Data Operations,2026-08-10 11:55:00,2026-08-10 12:40:36.439786904,Data mapping variance
EXC-000057,2026-08-07 04:31:00,PORT-1008,Equity,Aurora Securities,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,65564.52,GBP,Medium,Escalated,Pricing & Valuation,2026-08-08 16:31:00,,Market data variance
EXC-000058,2026-08-01 09:50:00,PORT-1068,Fixed Income,Meridian Markets,Accounting Difference,Synthetic accounting control detected a ledger variance requiring review.,182289.28,EUR,Critical,In Progress,Fund Accounting,2026-08-01 15:50:00,,Ledger posting difference
EXC-000059,2026-08-04 16:31:00,PORT-1085,Equity,Northstar Clearing,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,507304.56,USD,Medium,In Progress,Reconciliation Operations,2026-08-06 04:31:00,,Position or cash mismatch
EXC-000060,2026-08-04 06:00:00,PORT-1029,Equity,Harbor Trade Services,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,44303.97,EUR,Medium,Resolved,Reconciliation Operations,2026-08-05 18:00:00,2026-08-06 16:42:00.672204747,Position or cash mismatch
EXC-000061,2026-08-01 20:24:00,PORT-1062,ETF,Harbor Trade Services,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,6421.19,JPY,Medium,In Progress,Client Reporting,2026-08-03 08:24:00,,Upstream data delivery delay
